,net_laf,net_laf_ma30,net_laf_sd30,liquidity_z_30d
2012-11-01,74641.0000,,,
2012-11-02,52935.0000,,,
2012-11-05,57785.0000,,,
2012-11-06,41865.0000,,,
2012-11-07,66390.0000,58723.2000,12557.2545,0.6105
2012-11-08,80390.0000,62334.3333,14296.4827,1.2629
2012-11-09,87683.0000,65955.5714,16190.0609,1.3420
2012-11-12,103400.0000,70636.1250,19998.3321,1.6383
2012-11-13,103400.0000,74276.5556,21661.3997,1.3445
2012-11-14,103400.0000,77188.9000,22403.0936,1.1700
2012-11-15,115580.0000,80679.0000,24201.1884,1.4421
2012-11-16,111080.0000,83212.4167,24687.4602,1.1288
2012-11-19,111805.0000,85411.8462,24931.2823,1.0586
2012-11-20,109310.0000,87118.8571,24790.1243,0.8952
2012-11-21,107355.0000,88467.9333,24453.0962,0.7724
2012-11-22,125075.0000,90755.8750,25334.6630,1.3546
2012-11-23,119522.0000,92448.0000,25503.0529,1.0616
2012-11-26,109705.0000,93406.7222,25073.7157,0.6500
2012-11-27,106845.0000,94114.0000,24561.5253,0.5183
2012-11-28,106845.0000,94750.5500,24075.3290,0.5024
2012-11-29,101175.0000,95056.4762,23507.5690,0.2603
2012-11-30,86265.0000,94656.8636,23017.4808,-0.3646
2012-12-03,116420.0000,95603.0870,22941.5604,0.9074
2012-12-04,93955.0000,95534.4167,22439.8105,-0.0704
2012-12-05,91308.0000,95365.3600,21983.5974,-0.1846
2012-12-06,74865.0000,94576.8846,21911.4455,-0.8996
2012-12-07,98367.0000,94717.2593,21498.3175,0.1698
2012-12-10,89930.0000,94546.2857,21115.8343,-0.2186
2012-12-11,80865.0000,94074.5172,20890.3955,-0.6323
2012-12-12,84838.0000,93766.6333,20596.2091,-0.4335
2012-12-13,81940.0000,94009.9333,20404.7109,-0.5915
2012-12-14,119786.0000,96238.3000,19389.3870,1.2145
2012-12-17,157460.0000,99560.8000,21042.4625,2.7515
2012-12-18,151270.0000,103207.6333,20160.4134,2.3840
2012-12-19,165915.0000,106525.1333,21997.9053,2.6998
2012-12-20,170689.0000,109535.1000,24350.5200,2.5114
2012-12-21,161708.0000,112002.6000,25769.0856,1.9289
2012-12-24,155362.0000,113734.6667,26892.7363,1.5479
2012-12-25,155362.0000,115466.7333,27860.1102,1.4320
2012-12-26,135031.0000,116521.1000,27985.9511,0.6614
2012-12-27,130428.0000,117016.0333,28099.7962,0.4773
2012-12-28,138395.0000,117926.5333,28342.3110,0.7222
2012-12-31,170464.0000,119881.8333,29886.7561,1.6925
2013-01-01,146080.0000,121107.5000,30190.6814,0.8272
2013-01-02,94400.0000,120675.6667,30485.3865,-0.8619
2013-01-03,96590.0000,119726.1667,30785.7578,-0.7515
2013-01-04,59614.0000,117729.2333,32683.9211,-1.7781
2013-01-07,78800.0000,116699.0667,33424.2230,-1.1339
2013-01-08,82360.0000,115882.9000,33967.6656,-0.9869
2013-01-09,82875.0000,115083.9000,34465.8515,-0.9345
2013-01-10,101980.0000,115110.7333,34454.9610,-0.3811
2013-01-11,88490.0000,115184.9000,34393.0666,-0.7762
2013-01-14,101220.0000,114678.2333,34486.0789,-0.3903
2013-01-15,84685.0000,114369.2333,34718.9090,-0.8550
2013-01-16,82395.0000,114072.1333,34960.3518,-0.9061
2013-01-17,93055.0000,114678.4667,34410.3288,-0.6284
2013-01-18,79541.0000,114050.9333,34886.4240,-0.9892
2013-01-21,89100.0000,114023.2667,34906.5360,-0.7140
2013-01-22,84260.0000,114136.4333,34800.6731,-0.8585
2013-01-23,95600.0000,114495.1667,34542.7567,-0.5470
2013-01-24,117660.0000,115685.8333,33993.1564,0.0581
2013-01-25,117660.0000,115614.9667,33986.5293,0.0602
2013-01-28,109965.0000,114031.8000,33063.7649,-0.1230
2013-01-29,88717.0000,111946.7000,32603.6227,-0.7125
2013-01-30,103742.0000,109874.2667,30990.9778,-0.1979
2013-01-31,103210.0000,107624.9667,28795.9412,-0.1533
2013-02-01,109875.0000,105897.2000,26933.8356,0.1477
2013-02-04,68916.0000,103015.6667,26069.7071,-1.3080
2013-02-05,53820.0000,99630.9333,25627.0611,-1.7876
2013-02-06,65351.0000,97308.2667,25465.1535,-1.2549
2013-02-07,110398.0000,96640.6000,24821.2911,0.5543
2013-02-08,103080.0000,95463.4333,23579.1131,0.3230
2013-02-11,115554.0000,93633.1000,19299.1914,1.1358
2013-02-12,124116.0000,92900.9667,17581.0970,1.7755
2013-02-13,127075.0000,93990.1333,18656.4061,1.7734
2013-02-14,120285.0000,94779.9667,19262.0126,1.3241
2013-02-15,120142.0000,96797.5667,18610.5226,1.2544
2013-02-18,134113.0000,98641.3333,19485.3967,1.8204
2013-02-19,134113.0000,100366.4333,20269.4080,1.6649
2013-02-20,124326.0000,101748.1333,20447.9624,1.1042
2013-02-21,112265.0000,102090.9667,20538.0056,0.4954
2013-02-22,148375.0000,104087.1333,22026.7592,2.0106
2013-02-25,130610.0000,105066.8000,22542.3854,1.1331
2013-02-26,115555.0000,106095.8000,22283.0030,0.4245
2013-02-27,113551.0000,107134.3333,21862.3673,0.2935
2013-02-28,107397.0000,107612.4000,21700.0834,-0.0099
2013-03-01,92193.0000,108034.1333,21254.0735,-0.7453
2013-03-04,55919.0000,106928.1000,23059.9817,-2.2120
2013-03-05,32020.0000,105186.7667,26540.4918,-2.7568
2013-03-06,36830.0000,103227.7667,29298.1960,-2.2663
2013-03-07,70020.0000,101639.7667,29776.1525,-1.0619
2013-03-08,85441.0000,100565.8000,29759.4427,-0.5082
2013-03-11,107575.0000,100486.1333,29736.6035,0.2384
2013-03-12,108365.0000,101141.0667,29684.7796,0.2434
2013-03-13,94735.0000,100840.8333,29703.1094,-0.2056
2013-03-14,94425.0000,100548.0000,29722.2453,-0.2060
2013-03-15,129465.0000,101201.0000,30146.3967,0.9376
2013-03-18,151720.0000,103961.1333,30870.5025,1.5471
2013-03-19,123500.0000,106283.8000,29561.4150,0.5824
2013-03-20,132291.0000,108515.1333,28883.8072,0.8232
2013-03-21,141590.0000,109554.8667,29508.5759,1.0856
2013-03-22,133702.0000,110575.6000,29805.0151,0.7759
2013-03-25,162292.0000,112133.5333,31260.2070,1.6045
2013-03-26,168988.0000,113629.2667,32884.6207,1.6834
2013-03-27,168988.0000,115026.3667,34333.9557,1.5717
2013-03-28,186203.0000,117223.6333,36709.2093,1.8791
2013-03-29,186203.0000,119425.6667,38811.4732,1.7206
2013-04-01,-770.0000,114929.5667,44453.9344,-2.6027
2013-04-02,102095.0000,113862.3000,44361.7443,-0.2653
2013-04-03,57325.0000,111628.9333,45489.0308,-1.1938
2013-04-04,51595.0000,109606.6000,46789.8012,-1.2398
2013-04-05,46915.0000,106224.6000,47551.5654,-1.2473
2013-04-08,111430.0000,105585.2667,47340.8680,0.1235
2013-04-09,103215.0000,105173.9333,47304.8523,-0.0414
2013-04-10,93415.0000,104502.7333,47324.7418,-0.2343
2013-04-11,150.0000,100927.8333,51006.0927,-1.9758
2013-04-12,80680.0000,100544.0667,51117.2696,-0.3886
2013-04-15,61205.0000,100720.2667,50967.0335,-0.7753
2013-04-16,57945.0000,101584.4333,49972.0991,-0.8733
2013-04-17,69609.0000,102677.0667,48853.2589,-0.6769
2013-04-18,104644.0000,103831.2000,48462.5736,0.0168
2013-04-19,104644.0000,104471.3000,48337.9553,0.0036
2013-04-22,86215.0000,103759.3000,48447.8500,-0.3621
2013-04-23,93845.0000,103275.3000,48472.7737,-0.1945
2013-04-24,93845.0000,103245.6333,48478.4529,-0.1939
2013-04-25,100268.0000,103440.4000,48453.5242,-0.0655
2013-04-26,107721.0000,102715.6000,48212.8398,0.1038
2013-04-29,68060.0000,99926.9333,47697.3719,-0.6681
2013-04-30,90150.0000,98815.2667,47517.3160,-0.1824
2013-05-01,90150.0000,97410.5667,47114.7648,-0.1541
2013-05-02,103043.0000,96125.6667,46388.3918,0.1491
2013-05-03,80770.0000,94361.2667,45914.0976,-0.2960
2013-05-06,90809.0000,91978.5000,44085.6271,-0.0265
2013-05-07,99685.0000,89668.4000,41660.1866,0.2404
2013-05-08,115283.0000,87878.2333,39216.4335,0.6988
2013-05-09,105320.0000,85182.1333,34749.5066,0.5795
2013-05-10,102180.0000,82381.3667,29282.6306,0.6761
2013-05-13,89362.0000,85385.7667,24726.4259,0.1608
2013-05-14,106650.0000,85537.6000,24846.2622,0.8497
2013-05-15,105917.0000,87157.3333,24525.4467,0.7649
2013-05-16,101975.0000,88836.6667,23717.9602,0.5539
2013-05-17,111925.0000,91003.6667,22703.8473,0.9215
2013-05-20,99457.0000,90604.5667,22436.0556,0.3946
2013-05-21,97618.0000,90418.0000,22350.6863,0.3221
2013-05-22,104497.0000,90787.4000,22493.0523,0.6095
2013-05-23,96334.0000,93993.5333,14597.3928,0.1603
2013-05-24,92556.0000,94389.4000,14383.3566,-0.1275
2013-05-27,88765.0000,95308.0667,13004.8512,-0.5031
2013-05-28,98231.0000,96650.9333,10927.8268,0.1446
2013-05-29,80976.0000,97029.8333,10125.4799,-1.5855
2013-05-30,91992.0000,96608.1000,10060.6839,-0.4588
2013-05-31,71390.0000,95499.6333,10938.4160,-2.2041
2013-06-03,73387.0000,95072.0333,11547.6498,-1.8779
2013-06-04,68172.0000,94216.2667,12549.5354,-2.0753
2013-06-05,56013.0000,92955.2000,14358.5579,-2.5728
2013-06-06,54890.0000,91442.6000,15872.0325,-2.3030
2013-06-07,67817.0000,90112.4667,16130.7439,-1.3822
2013-06-10,81047.0000,90545.3667,15686.6684,-0.6055
2013-06-11,70315.0000,89884.2000,16116.0368,-1.2143
2013-06-12,53490.0000,88662.2000,17431.3839,-2.0178
2013-06-13,42647.0000,86649.0000,19119.1754,-2.3015
2013-06-14,73795.0000,86416.5000,19235.1906,-0.6562
2013-06-17,77315.0000,85966.7000,19286.6381,-0.4486
2013-06-18,66570.0000,84862.8667,19421.5882,-0.9419
2013-06-19,60460.0000,83035.4333,19035.9683,-1.1859
2013-06-20,65245.0000,81699.6000,18823.1687,-0.8742
2013-06-21,68005.0000,80560.4333,18573.4358,-0.6760
2013-06-24,77280.0000,80157.7000,18506.8774,-0.1555
2013-06-25,60949.0000,78634.3333,18128.0347,-0.9756
2013-06-26,45140.0000,76608.4333,18368.3967,-1.7132
2013-06-27,44335.0000,74687.1000,18636.1792,-1.6287
2013-06-28,82000.0000,73689.6000,17329.3405,0.4796
2013-07-01,82000.0000,73107.7000,16716.5217,0.5319
2013-07-02,67486.0000,72103.3000,16086.4100,-0.2870
2013-07-03,11111.0000,68990.4333,18461.9046,-3.1351
2013-07-04,5940.0000,65977.3000,21041.6115,-2.8533
2013-07-05,2635.0000,62979.9333,23397.6321,-2.5791
2013-07-08,24190.0000,60827.4333,23908.4591,-1.5324
2013-07-09,45365.0000,59065.2333,22987.0410,-0.5960
2013-07-10,53445.0000,58147.5333,22628.9087,-0.2078
2013-07-11,53940.0000,56879.1333,21714.4065,-0.1354
2013-07-12,75340.0000,57010.8000,21817.1605,0.8401
2013-07-15,89185.0000,57537.4000,22408.7008,1.4123
2013-07-16,224580.0000,62751.0000,37845.8912,4.2760
2013-07-17,76050.0000,63418.9000,37899.6466,0.3333
2013-07-18,59326.0000,63566.7667,37873.8682,-0.1120
2013-07-19,50173.0000,62978.6333,37942.5238,-0.3375
2013-07-22,48100.0000,61880.4000,37878.2727,-0.3638
2013-07-23,43125.0000,60974.0667,37994.6103,-0.4698
2013-07-24,40428.0000,60538.6667,38157.8231,-0.5270
2013-07-25,16232.0000,59658.1667,38882.7925,-1.1168
2013-07-26,55600.0000,59051.6667,38796.4886,-0.0890
2013-07-29,75412.0000,58988.2333,38767.1425,0.4237
2013-07-30,40441.0000,58117.2667,38884.2704,-0.4546
2013-07-31,39956.0000,57433.8000,39021.6286,-0.4479
2013-08-01,36193.0000,56465.4000,39181.2588,-0.5174
2013-08-02,30774.0000,55224.3667,39392.2104,-0.6207
2013-08-05,45391.0000,54161.4000,39206.3454,-0.2237
2013-08-06,49959.0000,53795.0667,39192.0782,-0.0979
2013-08-07,60222.0000,54297.8000,39173.9550,0.1512
2013-08-08,70284.0000,55162.7667,39232.8241,0.3854
2013-08-09,70284.0000,54772.2333,39014.1704,0.3976
2013-08-12,87109.0000,54942.5333,39148.0410,0.8217
2013-08-13,69783.0000,55019.1000,39175.6563,0.3769
2013-08-14,71581.0000,57034.7667,38386.2930,0.3789
2013-08-15,71581.0000,59222.8000,37226.7100,0.3320
2013-08-16,80033.0000,61802.7333,35825.3493,0.5089
2013-08-19,90416.0000,64010.2667,35466.3605,0.7445
2013-08-20,82569.0000,65250.4000,35442.3582,0.4886
2013-08-21,93923.0000,66599.6667,35746.6163,0.7644
2013-08-22,96722.0000,68025.7333,36076.0091,0.7954
2013-08-23,89989.0000,68514.0333,36277.0033,0.5920
2013-08-26,104638.0000,69029.1333,36688.0138,0.9706
2013-08-27,95792.0000,64736.2000,22744.1549,1.3654
2013-08-28,108591.0000,65820.9000,24041.3043,1.7790
2013-08-29,105660.0000,67365.3667,25075.7156,1.5272
2013-08-30,109130.0000,69330.6000,25975.9815,1.5322
2013-09-02,99665.0000,71049.4333,26227.5208,1.0911
2013-09-03,52814.0000,71372.4000,25929.7662,-0.7157
2013-09-04,60781.0000,72050.8333,25352.0346,-0.4445
2013-09-05,63957.0000,73641.6667,23128.4939,-0.4187
2013-09-06,84864.0000,74617.1333,22957.8193,0.4463
2013-09-09,84864.0000,74932.2000,23033.8365,0.4312
2013-09-10,115902.0000,77447.5667,23256.6198,1.6535
2013-09-11,112941.0000,79880.4000,23015.6217,1.4364
2013-09-12,111994.0000,82407.1000,22200.5083,1.3327
2013-09-13,150983.0000,86414.0667,23376.9840,2.7621
2013-09-16,187133.0000,91138.8000,28551.0652,3.3622
2013-09-17,129085.0000,93776.3333,28269.1358,1.2490
2013-09-18,121588.0000,95821.8667,27976.1268,0.9210
2013-09-19,120938.0000,97510.3333,27910.1739,0.8394
2013-09-20,109718.0000,98824.8000,27509.4188,0.3960
2013-09-23,104664.0000,99409.9667,27438.2311,0.1915
2013-09-24,103425.0000,100531.3667,26867.1550,0.1077
2013-09-25,108908.0000,101775.6000,26339.3486,0.2708
2013-09-26,100971.0000,102755.2667,25716.7719,-0.0694
2013-09-27,115575.0000,103940.0000,25451.2074,0.4571
2013-09-30,119316.0000,104903.3333,25468.5995,0.5659
2013-10-01,82514.0000,104901.5000,25470.2646,-0.8790
2013-10-02,82514.0000,104521.2000,25723.7518,-0.8555
2013-10-03,71782.0000,103689.8667,26379.1486,-1.2096
2013-10-04,70569.0000,103042.5333,26958.8651,-1.2046
2013-10-07,112462.0000,103303.3333,27012.6230,0.3391
2013-10-08,111760.0000,103835.6000,27016.8326,0.2933
2013-10-09,102582.0000,103635.3000,27002.6321,-0.0390
2013-10-10,114184.0000,103919.4333,27069.4355,0.3792
2013-10-11,99112.0000,103585.5000,27064.7320,-0.1653
2013-10-14,75038.0000,102764.6000,27556.7534,-1.0062
2013-10-15,66983.0000,103236.9000,26781.6416,-1.3537
2013-10-16,66983.0000,103443.6333,26464.6760,-1.3777
2013-10-17,77798.0000,103905.0000,25866.4419,-1.0093
2013-10-18,97099.0000,104312.8333,25651.4326,-0.2812
2013-10-21,91031.0000,104518.4000,25514.5435,-0.5286
2013-10-22,75499.0000,103171.6333,25955.4604,-1.0662
2013-10-23,71072.0000,101776.0000,26531.3114,-1.1573
2013-10-24,66228.0000,100250.4667,27230.0792,-1.2494
2013-10-25,65385.0000,97397.2000,26195.8250,-1.2220
2013-10-28,61496.0000,93209.3000,20853.0518,-1.5208
2013-10-29,51893.0000,90636.2333,21035.2692,-1.8418
2013-10-30,50082.0000,88252.7000,21454.1942,-1.7792
2013-10-31,55357.0000,86066.6667,21349.8179,-1.4384
2013-11-01,83751.0000,85201.1000,20879.0668,-0.0695
2013-11-04,83751.0000,84504.0000,20553.4185,-0.0366
2013-11-05,35636.0000,82244.3667,22071.7844,-2.1117
2013-11-06,37686.0000,79870.3000,22919.0173,-1.8406
2013-11-07,51595.0000,78224.4333,23123.4662,-1.1516
2013-11-08,56950.0000,76270.2667,22321.4136,-0.8655
2013-11-11,61369.0000,74338.7000,20931.9947,-0.6196
2013-11-12,57317.0000,73498.8000,21097.5105,-0.7670
2013-11-13,52246.0000,72489.8667,21373.4550,-0.9471
2013-11-14,50622.0000,71784.5333,21743.5606,-0.9733
2013-11-15,50622.0000,71119.6333,22084.3235,-0.9282
2013-11-18,114687.0000,71193.8000,22231.2006,1.9564
2013-11-19,64800.0000,69628.4667,20889.1311,-0.2311
2013-11-20,55347.0000,68053.9667,20084.2807,-0.6327
2013-11-21,48893.0000,65877.6000,18378.2453,-0.9242
2013-11-22,43666.0000,64029.4000,17696.0853,-1.1507
2013-11-25,57912.0000,63458.5333,17604.7097,-0.3151
2013-11-26,45124.0000,62729.9000,17903.6254,-0.9834
2013-11-27,47200.0000,62070.4667,18104.7695,-0.8214
2013-11-28,38516.0000,60761.0667,18346.9620,-1.2125
2013-11-29,58690.0000,59480.7667,17015.5996,-0.0465
2013-12-02,4020.0000,56580.4000,18776.8235,-2.7992
2013-12-03,-15402.0000,53550.3667,22569.9093,-3.0551
2013-12-04,-2977.0000,51082.0667,24549.8674,-2.2020
2013-12-05,-5451.0000,48692.7667,26440.2446,-2.0478
2013-12-06,4000.0000,46646.6000,27459.5114,-1.5531
2013-12-09,30879.0000,45626.0333,27457.5435,-0.5371
2013-12-10,21250.0000,44604.6000,27784.3918,-0.8406
2013-12-11,1605.0000,42988.7000,28844.3087,-1.4347
2013-12-12,5370.0000,41322.4667,29540.5810,-1.2171
2013-12-13,73925.0000,40994.9333,29105.1946,1.1314
2013-12-16,57552.0000,40121.6333,28155.6229,0.6191
2013-12-17,44736.0000,40424.9667,28154.6499,0.1531
2013-12-18,63745.0000,41293.6000,28467.4838,0.7887
2013-12-19,58744.0000,41531.9000,28586.3636,0.6021
2013-12-20,56090.0000,41503.2333,28570.7960,0.5105
2013-12-23,82732.0000,42215.3333,29338.9062,1.3810
2013-12-24,68894.0000,42601.2333,29619.1891,0.8877
2013-12-25,68894.0000,43156.1667,29960.1137,0.8591
2013-12-26,66617.0000,43689.3333,30238.5846,0.7582
2013-12-27,115407.0000,45848.8333,32943.1311,2.1115
2013-12-30,68258.0000,44301.2000,30605.3123,0.7828
2013-12-31,63665.0000,44263.3667,30579.7894,0.6345
2014-01-01,37297.0000,43661.7000,30531.7276,-0.2085
2014-01-02,909.0000,42062.2333,31490.0550,-1.3069
2014-01-03,16494.0000,41156.5000,31831.2552,-0.7748
2014-01-06,43570.0000,40678.4333,31678.2625,0.0913
2014-01-07,51262.0000,40883.0333,31727.7482,0.3271
2014-01-08,52480.0000,41059.0333,31778.6018,0.3594
2014-01-09,40239.0000,41116.4667,31775.4041,-0.0276
2014-01-10,83884.0000,41956.2667,32578.6517,1.2870
2014-01-13,61638.0000,43876.8667,31957.5348,0.5558
2014-01-14,61638.0000,46444.8667,30069.3865,0.5053
2014-01-15,41375.0000,47923.2667,28610.6350,-0.2289
2014-01-16,48359.0000,49716.9333,26777.0778,-0.0507
2014-01-17,66556.0000,51802.1333,25499.4384,0.5786
2014-01-20,52850.0000,52534.5000,25191.4388,0.0125
2014-01-21,50816.0000,53520.0333,24494.0134,-0.1104
2014-01-22,44887.0000,54962.7667,22526.3511,-0.4473
2014-01-23,31370.0000,55829.4333,21001.0682,-1.1647
2014-01-24,73472.0000,55814.3333,20987.7673,0.8413
2014-01-27,52526.0000,55646.8000,20993.4773,-0.1487
2014-01-28,40685.0000,55511.7667,21078.9316,-0.7034
2014-01-29,33590.0000,54506.6000,21389.4804,-0.9779
2014-01-30,27989.0000,53481.4333,21910.0708,-1.1635
2014-01-31,34354.0000,52756.9000,22178.5781,-0.8298
2014-02-03,28319.0000,50943.1333,21865.4210,-1.0347
2014-02-04,18775.0000,49272.5000,22355.7653,-1.3642
2014-02-05,21914.0000,47706.5000,22578.2476,-1.1424
2014-02-06,33624.0000,46606.7333,22428.4040,-0.5789
2014-02-07,82361.0000,45505.2000,19561.0939,1.8841
2014-02-10,69590.0000,45549.6000,19615.9541,1.2256
2014-02-11,53135.0000,45198.6000,19373.3363,0.4097
2014-02-12,67238.0000,46196.6333,19720.3521,1.0670
2014-02-13,58129.0000,48103.9667,17869.4020,0.5610
2014-02-14,56367.0000,49433.0667,16893.4214,0.4105
2014-02-17,33820.0000,49108.0667,17102.5975,-0.8939
2014-02-18,67906.0000,49662.8667,17441.4836,1.0460
2014-02-19,67906.0000,50177.0667,17752.0264,0.9987
2014-02-20,8657.0000,49124.3333,19236.1031,-2.1037
2014-02-21,73019.0000,48762.1667,18652.5286,1.3005
2014-02-24,15939.0000,47238.8667,19415.1983,-1.6121
2014-02-25,16652.0000,45739.3333,19993.3706,-1.4548
2014-02-26,26669.0000,45249.1333,20282.2604,-0.9161
2014-02-27,26669.0000,44526.1333,20552.3727,-0.8689
2014-02-28,24576.0000,43126.8000,20429.4830,-0.9080
2014-03-03,-14347.0000,40886.9000,22865.2213,-2.4156
2014-03-04,-6841.0000,38965.0000,24375.1473,-1.8792
