,adj_close,return,india_vix,1Y,3Y,5Y,10Y,net_laf,net_laf_ma30,net_laf_sd30,liquidity_z_30d,rv_30d,rv_30d_ann,vix_30d,vix_pct,vix_ann_est,rv_30d_ann_filled,vix_minus_rv,yield_slope_10y_1y,yield_curvature,yield_5y_3y,vol_liq_interaction,high_vol_flag,liquidity_stress_flag,rv_90d,rv_90d_ann,vol_cluster_ratio,pred_2,pred_3,pred_4,regime_ensemble,regime_hmm_2,regime_hmm_3,regime_hmm_4
2015-03-03,8996.250000,0.004410,15.490000,,,,,-30814.000000,22830.366700,22559.250300,-2.377900,0.008165,0.129619,19.858571,15.490000,0.154900,0.129619,0.025281,,,,-0.308221,0,1,0.010084,0.160071,0.809759,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000
2015-03-04,8922.650391,-0.008181,15.200000,,,,,-21913.000000,20953.200000,23868.191900,-1.796000,0.008337,0.132349,19.768929,15.200000,0.152000,0.132349,0.019651,,,,-0.237700,0,1,0.010077,0.159975,0.827316,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000
2015-03-05,8937.750000,0.001692,14.440000,,,,,-12674.000000,19762.166700,24638.652600,-1.316500,0.008321,0.132087,19.621429,14.440000,0.144400,0.132087,0.012313,,,,-0.173893,0,1,0.009954,0.158012,0.835932,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000
2015-03-09,8756.750000,-0.020251,15.810000,,,,,4474.000000,17119.766700,25040.360400,-0.505000,0.009070,0.143979,19.547143,15.810000,0.158100,0.143979,0.014121,,,,-0.072709,0,0,0.010381,0.164791,0.873706,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000
2015-03-10,8712.049805,-0.005105,15.530000,,,,,25123.000000,16805.666700,24872.771500,0.334400,0.008946,0.142021,19.455714,15.530000,0.155300,0.142021,0.013279,,,,0.047492,0,0,0.010301,0.163525,0.868497,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000
2015-03-11,8699.950195,-0.001389,15.130000,,,,,18620.000000,15872.833300,24233.187800,0.113400,0.008944,0.141983,19.290000,15.130000,0.151300,0.141983,0.009317,,,,0.016101,0,0,0.010189,0.161746,0.877814,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000
2015-03-12,8776.000000,0.008741,14.750000,,,,,17053.000000,16529.200000,23979.870600,0.021800,0.009077,0.144101,19.122857,14.750000,0.147500,0.144101,0.003399,,,,0.003141,0,0,0.010142,0.161004,0.895013,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000
2015-03-13,8647.750000,-0.014614,14.970000,,,,,42195.000000,17354.300000,24433.913700,1.016600,0.008993,0.142754,18.937143,14.970000,0.149700,0.142754,0.006946,,,,0.145124,0,1,0.010287,0.163304,0.874162,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000
2015-03-16,8633.150391,-0.001688,15.180000,,,,,47492.000000,19231.366700,24516.675300,1.152700,0.008994,0.142776,18.750357,15.180000,0.151800,0.142776,0.009024,,,,0.164578,0,1,0.010183,0.161649,0.883248,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000
2015-03-17,8723.299805,0.010442,15.130000,,,,,30578.000000,20258.133300,24317.952800,0.424400,0.009195,0.145959,18.583214,15.130000,0.151300,0.145959,0.005341,,,,0.061945,0,0,0.010173,0.161496,0.903797,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000
2015-03-18,8685.900391,-0.004287,15.510000,,,,,6334.000000,20460.733300,24170.434200,-0.584500,0.009203,0.146093,18.421071,15.510000,0.155100,0.146093,0.009007,,,,-0.085392,0,0,0.010095,0.160252,0.911647,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000
2015-03-19,8634.650391,-0.005900,15.200000,,,,,124.000000,20343.433300,24263.226500,-0.833300,0.009265,0.147085,18.227500,15.200000,0.152000,0.147085,0.004915,,,,-0.122566,0,0,0.010037,0.159325,0.923179,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000
2015-03-20,8570.900391,-0.007383,14.260000,,,,,43320.000000,20390.233300,24307.584900,0.943300,0.009305,0.147711,17.997857,14.260000,0.142600,0.147711,-0.005111,,,,0.139335,0,0,0.009999,0.158731,0.930572,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000
2015-03-23,8550.900391,-0.002333,14.270000,,,,,-9966.000000,18541.166700,24440.659700,-1.166400,0.008827,0.140126,17.721071,14.270000,0.142700,0.140126,0.002574,,,,-0.163443,0,1,0.009910,0.157314,0.890741,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000
