"Date","Price","Open","High","Low","Change %"
"10-12-2025","5.534","5.463","5.534","5.462","0.34%"
"09-12-2025","5.515","5.515","5.515","5.515","-0.04%"
"08-12-2025","5.517","5.509","5.567","5.507","0.64%"
"05-12-2025","5.482","5.595","5.621","5.482","-1.42%"
"04-12-2025","5.561","5.628","5.628","5.561","-0.22%"
"03-12-2025","5.573","5.520","5.630","5.518","2.16%"
"02-12-2025","5.455","5.519","5.621","5.455","0.63%"
"01-12-2025","5.421","5.506","5.520","-0.211","-0.81%"
"28-11-2025","5.465","5.527","5.577","5.465","-1.34%"
"27-11-2025","5.539","5.506","5.539","5.499","0.80%"
"26-11-2025","5.495","5.551","5.561","5.495","-0.76%"
"25-11-2025","5.537","5.557","5.558","5.537","-0.41%"
"24-11-2025","5.560","5.543","5.560","5.536","0.58%"
"21-11-2025","5.528","5.547","5.565","5.528","-0.47%"
"20-11-2025","5.554","5.545","5.554","5.536","0.00%"
"19-11-2025","5.554","5.538","5.554","5.518","0.29%"
"18-11-2025","5.538","5.542","5.575","5.535","-0.07%"
"17-11-2025","5.542","5.536","5.543","5.530","0.09%"
"14-11-2025","5.537","5.529","5.539","5.516","0.44%"
"13-11-2025","5.513","5.545","5.551","5.513","-0.54%"
"12-11-2025","5.543","5.551","5.557","5.543","0.71%"
"11-11-2025","5.504","5.549","5.572","5.504","-0.88%"
"10-11-2025","5.553","5.558","5.580","5.553","0.23%"
